iteration	utc_time	hypothesis	change	status	hard_penetration_max_m	sole_penetration_max_m	completions	total_scenarios	freeze_seconds_max	stance_slide_max_m	score	artifact
0	2026-08-02T00:00:00Z	baseline_uses_weak_foot_center_gate	no_change	baseline_pending	NA	NA	NA	NA	NA	NA	NA	artifacts/terrain_autoresearch/baseline
1	2026-08-03T07:51:35Z	heldout_geometry_coverage_is_below_target	heldout12_fullfoot_v1	baseline_measured	0.0	0.003194237	3	12	NA	NA	3/12	artifacts/terrain_fragment_sweep/heldout12_fullfoot_v1
2	2026-08-03T08:01:42Z	audit_aware_fallback_recovers_a_safe_later_plan	reject_unsafe_candidate_and_continue	keep_correctness_no_coverage_gain	0.0	0.003194237	3	12	NA	NA	3/12	artifacts/terrain_fragment_sweep/heldout12_auditfallback_v2
3	2026-08-03T08:15:58Z	near_misses_are_only_overly_strict_internal_bounds	stance_0.006_joint_0.27	discard_no_gain	0.0	0.003194237	3	12	NA	NA	3/12	artifacts/terrain_fragment_sweep/heldout12_quality_envelope_v3
4	2026-08-03T09:20:00Z	whole_route_warp_hides_local_riser_coverage	compact_one_riser_kernels	keep_major_coverage_gain	0.0	0.004314711	57	60	NA	NA	57/60	artifacts/terrain_fragment_sweep/heldout12_riser_kernels_midpoint_v8
5	2026-08-03T09:31:00Z	global_phase_selection_removes_unsafe_kernel_seams	four_phase_beam_plus_inertialization	keep_composition_proof	0.0	0.004314711	1	1	0.0	NA	1/1	artifacts/terrain_fragment_composition/target00_phasebeam_v3
6	2026-08-03T10:05:00Z	terminal_and_high_riser_failures_are_local_windowing_problems	finite_platform_terminal_window_and_smoothed_high_riser	keep_isolated_coverage_gain	0.0	0.004314711	59	60	NA	NA	59/60	artifacts/terrain_fragment_sweep/heldout12_riser_kernels_terminal022_v9
7	2026-08-03T10:18:00Z	wide_landings_should_be_shared_by_neighbouring_stair_kernels	split_each_landing_at_its_midpoint	keep_target4_strict_pass	0.0	0.004743054	11	12	0.0	NA	11/12	artifacts/terrain_fragment_composition/heldout12_phasebeam_target04_landingsplit_longblend_v15
8	2026-08-03T10:31:49Z	high_interior_riser_requires_a_coherent_multiriser_contact_sequence	three_riser_nonboundary_tail_block	keep_full_suite_pass	0.0	0.004743054	12	12	0.0	NA	12/12	artifacts/terrain_fragment_composition/heldout12_phasebeam_final_v14
9	2026-08-03T23:50:31Z	stale_nominal_geometry_metadata_wastes_coherent_warp_candidates	exact_physical_mesh_profile_ranking	discard_no_gain	NA	0.003775343	3	12	NA	NA	3/12	artifacts/coherent_warp_coverage/heldout12_ab_v1
